id,recipe_name,recipe_url,servings,total_cost_est,price_per_person,protein_grams_est,protein_tag,sodium_tag,sat_fat_tag,diet_tags,ingredients,ingredients_json,directions
11,Live Well Recipe: Get Your Greens Soup,https://www.aces.edu/blog/topics/home-family/live-well-recipe-get-your-greens-soup/,6,2.0,0.33,8,low,med,med,"dairy-free, gluten-free, processed","4 links Italian sausage, cut into ½-inch pieces | 4 cups chicken broth | 3 large potatoes, diced | 1 pound kale","[{""ingredient"": ""italian sausage"", ""quantity"": ""4"", ""unit"": ""links""}, {""ingredient"": ""chicken broth"", ""quantity"": ""4"", ""unit"": ""cup""}, {""ingredient"": ""potato"", ""quantity"": ""3"", ""unit"": ""large""}, {""ingredient"": ""kale"", ""quantity"": ""1"", ""unit"": ""pound""}]","In large pot over medium heat, cook sausage for 5 minutes or until golden brown. Stir occasionally. | To the pot, add broth and potatoes. Cook 20 minutes. | Rinse kale, remove stems, and tear leaves into bite-sized pieces. | Stir in kale. Cook 12 minutes or until kale and potatoes are tender."
12,Live Well Recipe: Good,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-good-for-you-nachos/,6,2.0,0.33,8,low,low,low,"vegetarian, dairy-free, gluten-free",beans | oil | onion | potato | tomato,"[{""ingredient"": ""beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""potato"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","Preheat oven to 450 degrees F. | Spray baking sheet with cooking spray. | In a bowl, toss sweet potatoes, oil, and taco mix. Put in a single layer on baking sheet. | Bake 20 to 30 minutes, turning sweet potatoes after 10 minutes. Bake until crispy, and remove pan from oven. | Top sweet potato chips with black beans, tomato, jalapeño, olives, and onions. | Sprinkle with cilantro, if desired"
13,Live Well Recipe: Grandma’s Macaroni Salad,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-grandmas-macaroni-salad/,4,10.0,2.5,10,low,low,low,"vegetarian, dairy-free, gluten-free",,[],Mix all ingredients together in a large bowl. | Chill before serving.
14,Live Well Recipe: Grilled Cheese Surprise,https://www.aces.edu/blog/topics/by-ingredients/live-well-alabama-grilled-cheese-surprise/,4,2.3,0.57,8,low,low,high,"vegetarian, gluten-free",butter | cheese | spinach | tomato,"[{""ingredient"": ""butter"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""spinach"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","Spread butter on one side of each slice of bread. | Place 4 slices of bread, buttered side down, in skillet. Top with cheese, tomato, and spinach. Put another slice of buttered bread, buttered side up, on top to complete the 4 sandwiches. | Cook on medium heat for 2 minutes. Flip each sandwich over to toast the other side. | Download the recipe here: Printable Grilled Cheese Surprise | Click here to view the USDA Nondiscrimination Statement."
15,Live Well Recipe: Half Veggie Burgers,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-half-veggie-burgers/,4,10.0,2.5,10,low,low,low,"vegetarian, dairy-free, gluten-free",,[],
16,Live Well Recipe: Island Tilapia,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-island-tilapia/,4,2.0,0.5,8,low,low,low,"vegetarian, dairy-free, gluten-free",bell pepper | oil | onion | pepper | salt,"[{""ingredient"": ""bell pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}]","Season tilapia with Creole seasoning, salt, and pepper. | In a large pan, heat oil over medium-high heat. Add fish and cook until it is tender and flakes with a fork, about 4 minutes per side. Remove fish from pan and set aside. | To the same pan, add parsley, bell pepper, and onions. Cook until vegetables are tender. | Stir in remaining ingredients. Reduce heat to medium. Cook and stir occasionally for 8 to 10 minutes or until liquid is thick. Salt and pepper to taste. Add cooked tilapia to the pan until warmed. | Remove bay leaf and serve."
17,Live Well Recipe: Just Peachy Chicken,https://www.aces.edu/blog/topics/live-well-recipes/live-well-recipe-just-peachy-chicken/,6,2.0,0.33,28,high,low,low,"dairy-free, gluten-free","Cooking spray | 2 skinless, boneless chicken breasts, cut in half | 1 can peach slices in 100% juice, 15 ounces, drained | 1 teaspoon cinnamon","[{""ingredient"": ""cooking spray"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken breast"", ""quantity"": ""2"", ""unit"": ""skinless""}, {""ingredient"": ""peach slices in 100% juice"", ""quantity"": ""1"", ""unit"": ""can""}, {""ingredient"": ""cinnamon"", ""quantity"": ""1"", ""unit"": ""teaspoon""}]",Preheat oven to 425 degrees F. Spray baking dish with cooking spray. | Place chicken in baking dish. Pour peaches over chicken. | Sprinkle with cinnamon. | Bake for 40 minutes or until chicken reaches an internal temperature of 165 degrees F. | Download the recipe here: Printable Just Peachy Chicken | Click here to view the USDA Nondiscrimination Statement.
18,Live Well Recipe: Mediterranean Salad,https://www.aces.edu/blog/topics/home-family/live-well-recipe-mediterranean-salad/,4,2.3,0.57,8,low,low,low,"vegetarian, dairy-free, gluten-free","1 ½ cups dry brown rice | ¼ cup olive oil | 1 lemon, juiced | 2 cloves garlic, minced | 2 cups cherry tomatoes | 1 cup olives, pitted and halved | 1 cup chickpeas, drained | ½ red onion, diced | 3 tablespoons fresh parsley, chopped | Salt and pepper to taste","[{""ingredient"": ""brown rice"", ""quantity"": ""1"", ""unit"": null}, {""ingredient"": ""olive oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": """", ""quantity"": ""1"", ""unit"": ""lemon""}, {""ingredient"": ""garlic"", ""quantity"": ""2"", ""unit"": ""cloves""}, {""ingredient"": ""tomato"", ""quantity"": ""2"", ""unit"": ""cup""}, {""ingredient"": ""olives"", ""quantity"": ""1"", ""unit"": ""cup""}, {""ingredient"": ""chickpeas"", ""quantity"": ""1"", ""unit"": ""cup""}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""fresh parsley"", ""quantity"": ""3"", ""unit"": ""tablespoons""}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}]","Cook rice according to package instructions and let cool. | In bowl, mix together olive oil, lemon juice, and garlic. | In a separate bowl, mix the cooled brown rice and all other ingredients. | Stir in olive oil mixture. | Refrigerate for at least 1 hour before serving."
19,Live Well Recipe: Mighty Skillet Meal,https://www.aces.edu/blog/topics/home-family/live-well-recipe-mighty-skillet-meal/,6,3.8,0.63,26,high,low,low,"dairy-free, gluten-free","1 pound lean ground beef | ½ cup celery, chopped | ½ cup onion, chopped | ¼ cup green onion, chopped | 1 teaspoon chili powder | 2 cups tomatoes, diced | ½ cup cooked rice | Salt and pepper to taste","[{""ingredient"": ""ground beef"", ""quantity"": ""1"", ""unit"": ""pound""}, {""ingredient"": ""½ cup celery"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chili powder"", ""quantity"": ""1"", ""unit"": ""teaspoon""}, {""ingredient"": ""tomato"", ""quantity"": ""2"", ""unit"": ""cup""}, {""ingredient"": ""rice"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}]","Over medium heat, combine ground beef, celery, onion, and green onion in skillet. Cook until meat is brown. Drain fat and return to skillet. | Add chili powder, tomatoes, rice, salt, and pepper to skillet. | Cover and simmer over medium heat for 20 to 25 minutes. Stir often to avoid sticking."
20,Live Well Recipe: One,https://www.aces.edu/blog/topics/home-family/live-well-recipe-one-pot-chili-mac/,6,4.45,0.74,33,high,low,med,gluten-free,"½ pound ground beef | 1 medium onion, finely chopped | 1 can tomato sauce, 8 ounces | 1 can tomato puree, 15 ounces | 1 cup dry elbow macaroni | ½ cup green pepper, finely chopped | ¼ cup water | 1 tablespoon chili powder | 1 teaspoon garlic salt | ½ cup cheddar cheese, shredded","[{""ingredient"": ""ground beef"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""onion"", ""quantity"": ""1"", ""unit"": ""medium""}, {""ingredient"": ""tomato sauce"", ""quantity"": ""1"", ""unit"": ""can""}, {""ingredient"": ""tomato"", ""quantity"": ""1"", ""unit"": ""can""}, {""ingredient"": ""dry elbow macaroni"", ""quantity"": ""1"", ""unit"": ""cup""}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""¼ cup water"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chili powder"", ""quantity"": ""1"", ""unit"": ""tablespoon""}, {""ingredient"": ""garlic"", ""quantity"": ""1"", ""unit"": ""teaspoon""}, {""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}]","In skillet over medium-high heat, cook ground beef and onion until meat is brown and onion is tender. Drain fat. | Stir in tomato sauce, tomato puree, uncooked macaroni, pepper, water, chili powder, and garlic salt. | Bring to boil then reduce heat to medium-low. | Cook 20 minutes or until macaroni is tender, stirring often. | Remove skillet from heat and sprinkle with cheese. | Let cheese melt and serve."
21,Live Well Recipe: Parmesan Garlic Chicken,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-parmesan-garlic-chicken/,6,2.35,0.39,32,high,low,med,gluten-free,cheese | chicken | garlic,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}]","Preheat oven to 350 degrees. | Mix cheese, garlic powder and Italian dressing mix. | Moisten chicken with water; coat with cheese mixture and place in a shallow baking dish. | Bake for 20–25 minutes or until chicken is cooked through. | Download the recipe here: Printable Parmesan Garlic Chicken | Click here to view the USDA Nondiscrimination Statement."
22,Live Well Recipe: Power Mac and Cheese,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-power-mac-and-cheese/,4,2.25,0.56,8,low,low,med,vegetarian,broccoli | cheese | flour | milk,"[{""ingredient"": ""broccoli"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""flour"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""milk"", ""quantity"": null, ""unit"": null}]","Cook macaroni, following instructions on the package. | Drain cooked macaroni and return to pan. | While macaroni is still warm, sprinkle in flour and stir thoroughly. | Over medium heat, slowly stir milk into macaroni. | Add cheese. | Stir over medium heat until milk and cheese thicken into a creamy sauce, approximately 7-10 minutes. | Stir in broccoli; heat thoroughly. | Download the recipe here: Printable Power Mac and Cheese | Click here to view the USDA Nondiscrimination Statement."
23,Live Well Recipe: Put a Pork In It!,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-put-a-pork-in-it/,6,2.0,0.33,8,low,low,low,"vegetarian, dairy-free, gluten-free",beans | corn | oil | pepper | salt,"[{""ingredient"": ""beans"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""corn"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}]","Preheat oven to 400 degrees. | Layout 4 large pieces of foil. Spray foil with cooking spray. | Season pork chops with salt and pepper. | Mix barbecue sauce and jelly in a small bowl. | Mix beans, corn, and hominy in a large bowl. | Divide corn mixture among 4 foil sheets. Top each corn mixture with a pork chop. | Spoon barbecue sauce mixture over each pork chop. | Fold foil over pork chop to form a sealed packet. Repeat for each pork chop. | Place packets on a baking sheet. | Bake 40 minutes. Open packets carefully and serve."
24,Live Well Recipe: Quick Pita Pizza,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-quick-pita-pizza/,6,3.05,0.51,32,high,low,med,gluten-free,cheese | chicken | spinach,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""chicken"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""spinach"", ""quantity"": null, ""unit"": null}]","Preheat oven to 450 degrees F. | Place pizza sauce, chicken, spinach, and cheese evenly on pita. | Place each pita on baking sheet. | Bake for 5 to 8 minutes. | Download the recipe here: Printable Quick Pita Pizza | Click here to view the USDA Nondiscrimination Statement."
25,Live Well Recipe: Quick Stir Fry,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-quick-stir-fry/,4,4.75,1.19,50,high,med,low,"dairy-free, gluten-free",garlic | ground beef | oil | pepper | rice | salt | soy sauce | sugar | turkey,"[{""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""ground beef"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""rice"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""soy sauce"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""sugar"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""turkey"", ""quantity"": null, ""unit"": null}]","Stir together soy sauce, garlic, water, brown sugar, salt and pepper. Set aside. | In a skillet, heat oil over medium heat. Add ground beef or turkey. Cook and stir for 5–7 minutes or until meat is no longer pink. | Stir in soy sauce mixture. | Add cooked rice and vegetables. Cook and stir for 5 minutes or until vegetables are tender. Stir often to prevent sticking. | Download the recipe here: Printable Quick Stir Fry | Click here to view the USDA Nondiscrimination Statement."
26,Live Well Recipe: Sheet Pan Tilapia with Asparagus,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-sheet-pan-tilapia-with-asparagus/,6,2.0,0.33,18,med,low,low,"vegetarian, dairy-free, gluten-free",egg | eggs | garlic | pepper | salt,"[{""ingredient"": ""egg"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""eggs"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""salt"", ""quantity"": null, ""unit"": null}]","Preheat oven to 425 degrees F. | Spray baking sheet with cooking spray. | Snap asparagus spears to remove ends. | Place asparagus on half of baking sheet and lightly spray with cooking spray. Season with salt and pepper. | Mix bread crumbs, seafood seasoning, and garlic powder together in a shallow dish. | Mix eggs in a separate shallow dish. | Dip each fillet in egg, then in bread crumb mixture, and place on other half of baking sheet. | Bake for 20 minutes, turning fillets after 10 minutes until golden brown on both sides"
27,Live Well Recipe: Skillet Spaghetti,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-skillet-spaghetti/,4,2.0,0.5,8,low,low,med,vegetarian,cheese | oil | pasta,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pasta"", ""quantity"": null, ""unit"": null}]","In a large skillet, mix pasta sauce and water. Bring to a boil. | Add spaghetti and zucchini. Stir well. Make sure spaghetti is covered by the sauce. Add water if needed. | Bring to a boil. Cover and simmer for 25 minutes. | Stir often. Add water if needed. | Top with cheese. | Download the recipe here: Printable Skillet Spaghetti | Click here to view the USDA Nondiscrimination Statement."
28,Live Well Recipe: Snap & Go Pasta,https://www.aces.edu/blog/topics/by-ingredients/live-well-recipe-snap-go-pasta/,4,2.4,0.6,8,low,low,med,vegetarian,cheese | garlic | oil | pasta | pepper | tomato,"[{""ingredient"": ""cheese"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""garlic"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""oil"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pasta"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""pepper"", ""quantity"": null, ""unit"": null}, {""ingredient"": ""tomato"", ""quantity"": null, ""unit"": null}]","In large saucepan, cook spaghetti according to package. Drain. | In separate saucepan over medium heat, stir together vegetables, oil, and garlic powder. | Add Italian diced tomatoes, tomato juice, and pepper. Bring to a boil. | Reduce heat and simmer for 10 minutes or until vegetables are tender. | Add spaghetti and cheese. | Mix and serve. | Download the recipe here: Printable Snap & Go Pasta | Click here to view the USDA Nondiscrimination Statement."
